"X","Y","Z","Fe","P2O5"
65.3,-2253.9,10,15.8,2.4
47,-2252.6,10,12.5,9
72,-2253,10,10.2,0.6
41.2,-2249.7,10,6.4,2.3
77.8,-2250.3,10,18,4.5
58.6,-2249.1,10,0,0
36,-2247.7,10,7.4,3.5
64.5,-2248.4,	10,          ,
83.3,-2248.2,	10,	33.2 ,	9.8
71.9,-2247.1,	10,          ,
31.5,-2245.8,	10,          ,
47.4,-2246.1,	10,          ,
88.3,-2246,	10,	41.5 ,	4.6
26.5,-2244.6  ,	10,	4.6  ,	2.6
42.6,-2244.1  ,	10,	6.3  ,	2.4
58.8,-2243.7  ,	10,          ,
53.7,-2242.6  ,	10,	10.1 ,
79.7,-2243.1  ,	10,          ,
93.9,-2243.4  ,	10,	46   ,	5.8
35.9,-2241.9  ,	10,          ,
17.5,-2240.7  ,	10,	4.5  ,	8.1
100.2,-2241   ,	10,	28.5 ,	9.6
31.2,-2239.9  ,	10,          ,
47.8,-2239.7  ,	10,          ,
84.9,-2240.3  ,	10,          ,
11.3,-2237.7  ,	10,	2.3  ,	2.6
42.8,-2237.9  ,	10,          ,
90.5,-2238    ,	10,          ,
104.4,-2238   ,	10,	42.7 ,	9.2
5.6,-2236.8   ,	10,	19   ,	4.2 
22.1,-2236.6  ,	10,	11.2 ,	5.6 
-0.4,-2235.7  ,	10,          ,      
36.8,-2236.5  ,	10,          ,      
97.2,-2236.2  ,	10,          ,      
108.6,-2235.4 ,	10,	27   ,	12.9
17.6,-2234.2  ,	10,	6.2  ,
101.5,-2233.9 ,	10,	54   ,	3.3 
12.5,-2233.2  ,	10,	3.4  ,	1.3 
26,-2232.6    ,	10,          ,      
30.9,-2233.3  ,	10,	7.3  ,	2.5 
113.4,-2232.8 ,	10,	33.1 ,	6.5 
7.5,-2231.2   ,	10,	3.6  ,	1.7 
106.7,-2231.1 ,	10,	46   ,	8   
0.3,-2229.8   ,	10,          ,      
117.8,-2230.2 ,	10,	50   ,	5.1 
99.6,-2228.6  ,	10,          ,      
110.4,-2227.5 ,	10,	42   ,	9.1 
12.4,-2227.3  ,	10,	3.8  ,	2.1
122,-2227.2   ,	10,	33.7 ,      
0.8,-2224.5   ,	10,          ,
114.2,-2223.6 ,	10,	25.6 ,	12  
126.4,-2223.5 ,	10,	15.8 ,	6.1 
108.4,-2221.4 ,	10,          ,      
119,-2221.1   ,	10,	11.9 ,	8.3 
130.4,-2220   ,	10,	24.1 ,	14.1
111.9,-2217.5 ,	10,	40.6 ,	6.9
123.2,-2217.4 ,	10,	27   ,	11.3
135.2,-2216.2 ,	10,	22.5 ,	5   
115.9,-2215.1 ,	10,	38.1 ,	7.1 
128.5,-2214.8 ,	10,          ,      
108.8,-2213.8 ,	10,	39.5 ,	8.9 
139.7,-2212.7 ,	10,	10.2 ,	5   
120.4,-2212.3 ,	10,	16.1 ,	9.1 
132.3,-2211.5 ,	10,          ,      
112.8,-2210.7 ,	10,	40.4 ,	3.9 
125.6,-2211.3 ,	10,          ,      
144.5,-2210.8 ,	10,	40.5 ,	10.1
117.6,-2208.6 ,	10,          ,      
136.5,-2208.5 ,	10,          ,
148.8,-2207.5 ,	10,	18   ,      
129.6,-2207.3 ,	10,          ,
123.6,-2206.1 ,	10,          ,      
141.6,-2206.5 ,	10,          ,      
134.3,-2204.7 ,	10,          ,      
152.4,-2203.9 ,	10,          ,      
145.4,-2203   ,	10,          ,      
139.1,-2201.9 ,	10,          ,
150.2,-2200.2 ,	10,          ,
156.9,-2200.4 ,	10,          ,      
143.8,-2198.6 ,	10,          ,      
161.7,-2197.6 ,	10,          ,      
147.7,-2195.9 ,	10,          ,      
153.4,-2196.3 ,	10,          ,      
159,-2193.4   ,	10,          ,      
166.9,-2193.3 ,	10,          ,      
151.6,-2192.2 ,	10,          ,      
