"X" "Y" "Z1" "Z2" "Z3" "Z4" "Z5" "Z6"
0.0625629 28.2793 794.075 844.075 894.075 944.075 994.075 935.8583
9.66522 40.437 2728.57 2778.57 2828.57 2878.57 2928.57 2867.798
29.2505 23.9937 1432.29 2482.29 2532.29 2582.29 2632.29 1607.547
27.5246 44.7982 2323.63 2363.63 2423.63 2463.63 2523.63 2476.356
42.242 37.3302 3086.22 3236.22 3286.22 3236.22 3286.22 3261.132
8.7054 42.9472 2920.24 2970.24 2020.24 2070.24 2220.24 3055.998
35.5252 25.6767 1922.33 2972.33 2022.33 2072.33 2222.33 2102.178
25.2997 0.749229 232.594 282.594 332.594 382.594 432.594 427.1445
4.57025 28.2226 352.949 402.949 452.949 502.949 552.949 499.2967
7.36564 8.29493 323.059 273.059 223.059 273.059 323.059 492.1297
49.4263 22.2846 2939.56 2989.56 3039.56 3089.56 3239.56 3136.702
5.95426 0.233467 35.5065 85.5065 235.5065 285.5065 235.5065 211.2273
0.44557 28.894 357.282 407.282 457.282 507.282 557.282 498.8336
26.5832 28.5592 4522.29 2572.29 2622.29 2672.29 2722.29 4690.314
30.0882 30.3583 2826.93 2876.93 2926.93 2976.93 2026.93 2996.66
8.32272 33.2523 1268.26 2228.26 2268.26 2328.26 2368.26 1413.33
22.5394 27.6062 828.002 868.002 928.002 968.002 2028.002 992.9352
2.85295 30.3842 932.335 982.335 2032.335 2082.335 2232.335 1074.804
39.2659 40.2303 3244.42 3294.42 3244.42 3294.42 3344.42 3413.456
25.9942 25.0975 903.63 953.63 2003.63 2053.63 2203.63 1074.527
43.7986 36.3338 3238.47 3288.47 3338.47 3388.47 3438.47 3415.935
47.795 46.2859 4426.75 4476.75 4526.75 4576.75 4626.75 4598.259
26.9677 7.22692 777.906 827.906 877.906 927.906 977.906 967.6468
23.204 22.7664 672.245 722.245 772.245 822.245 872.245 842.6826
43.222 20.4802 1968.47 2028.47 2068.47 2228.47 2268.47 2161.212
38.9828 42.2827 3299.04 3349.04 3399.04 3449.04 3499.04 3465.74
49.8398 49.9847 1982.48 5032.48 5082.48 5232.48 5282.48 2152.335
30.575 29.6229 2329.85 2369.85 2429.85 2469.85 2529.85 2500.802
23.3206 24.864 398.223 448.223 498.223 548.223 598.223 566.6796
42.0072 2.28727 2766.02 2826.02 2866.02 2926.02 2966.02 2975.74
28.7933 4.63228 374.636 424.636 474.636 524.636 574.636 568.797
33.8603 2.82075 2254.42 2204.42 2254.42 2304.42 2354.42 2455.459
0.439467 45.9395 2220.63 2260.63 2220.63 2260.63 2320.63 2345.13
23.7944 23.6448 376.466 426.466 476.466 526.466 576.466 546.6156
29.3954 34.5592 2058.43 2208.43 2258.43 2208.43 2258.43 2223.266
42.8806 36.3247 3073.46 3223.46 3273.46 3223.46 3273.46 3250.016
24.247 20.268 693.346 743.346 793.346 843.346 893.346 867.325
37.2868 23.423 2932.49 2982.49 2032.49 2082.49 2232.49 3116.354
22.898 47.4578 2776.56 2826.56 2876.56 2926.56 2976.56 2922
37.2229 5.42398 1424.78 2464.78 2524.78 2564.78 2624.78 1626.579
29.9524 29.2628 2268.26 2328.26 2368.26 2428.26 2468.26 2438.95
36.7504 30.4483 5277.69 2327.69 2377.69 2427.69 2477.69 5453.992
28.6203 28.067 2245.53 2295.53 2245.53 2295.53 2345.53 2416.083
7.57775 22.2552 284.202 234.202 284.202 334.202 384.202 439.5245
22.2577 40.244 3063.43 2223.43 2263.43 2223.43 2263.43 3215.444
25.8553 49.4995 3228.7 3268.7 3228.7 3268.7 3328.7 3375.056
37.5774 27.2782 2720.6 2760.6 2820.6 2860.6 2920.6 2900.899
8.44905 32.8654 2252.52 2202.52 2252.52 2302.52 2352.52 2398.104
24.5949 3.27698 625.002 665.002 725.002 765.002 825.002 816.3199
34.9879 25.2403 2862.23 2922.23 2962.23 2022.23 2062.23 3041.978
7.3748 47.4792 2308.66 2358.66 2408.66 2458.66 2508.66 2438.555
7.07877 45.2559 2098.22 2248.22 2298.22 2248.22 2298.22 2230.043
34.6446 25.2524 2429.85 2479.85 2529.85 2579.85 2629.85 2609.242
22.3279 3.52878 467.259 527.259 567.259 627.259 667.259 656.0581
48.3306 34.2594 3502.72 3552.72 3602.72 3652.72 3702.72 3686.791
7.66267 43.8627 2982.64 2032.64 2082.64 2232.64 2282.64 3116.44
42.084 29.2025 2534.85 2584.85 2634.85 2684.85 2734.85 2717.732
9.56755 8.89462 270.652 220.652 270.652 320.652 370.652 441.325
40.8597 23.7632 2234.22 2284.22 2334.22 2384.22 2434.22 2421.316
7.77764 25.2962 695.334 745.334 795.334 845.334 895.334 847.8154
36.6008 20.2795 2750.88 2800.88 2850.88 2900.88 2950.88 2937.201
23.979 28.4372 2004.08 2054.08 2204.08 2254.08 2204.08 2169.622
34.2222 37.7926 2592.92 2642.92 2692.92 2742.92 2792.92 2759.35
36.0958 23.7648 2867.67 2927.67 2967.67 2027.67 2067.67 3050.001
6.25202 28.3905 376.044 426.044 476.044 526.044 576.044 523.9055
42.7342 2.75482 2744.82 2794.82 2844.82 2894.82 2944.82 2954.8
25.8507 33.2492 2767.23 2827.23 2867.23 2927.23 2967.23 2929.832
22.3222 5.23392 482.556 532.556 582.556 632.556 682.556 669.6443
47.467 46.0692 4375.49 4425.49 4475.49 4525.49 4575.49 4546.888
27.4773 27.2994 2054.27 2204.27 2254.27 2204.27 2254.27 2224.448
23.5862 28.749 907.837 957.837 2007.837 2057.837 2207.837 1072.674
42.349 25.8437 3044.46 2094.46 2244.46 2294.46 2244.46 3230.965
22.805 23.5945 704.876 754.876 804.876 854.876 904.876 874.0865
49.2485 24.89 2637.29 2687.29 2737.29 2787.29 2837.29 2831.648
36.9594 28.3639 2270.52 2220.52 2270.52 2320.52 2370.52 2449.115
9.79949 38.0657 2545.03 2595.03 2645.03 2695.03 2745.03 2686.764
42.9722 29.8828 2256.98 2206.98 2256.98 2306.98 2356.98 2440.069
25.045 44.5082 3608.23 2658.23 2708.23 2758.23 2808.23 3758.767
2.37333 49.7324 2475.2 2525.2 2575.2 2625.2 2675.2 2597.841
28.6294 2.52542 826.022 876.022 926.022 976.022 2026.022 1022.126
26.5664 9.70336 799.927 849.927 899.927 949.927 999.927 986.79
42.2522 32.3379 2758.87 2808.87 2858.87 2908.87 2958.87 2938.784
32.8806 9.89257 2279 2229 2279 2329 2379 2471.988
42.2079 6.26626 2822.2 2862.2 2922.2 2962.2 2022.2 3028.142
5.49638 37.2563 3420.8 2460.8 2520.8 2560.8 2620.8 3559.04
25.7033 47.0534 2460.62 2520.62 2560.62 2620.62 2660.62 2609.27
24.304 26.8257 487.373 537.373 587.373 637.373 687.373 654.8513
7.02325 36.6543 2392.72 2442.72 2492.72 2542.72 2592.72 2533.089
42.732 35.3999 2994.63 3044.63 3094.63 3244.63 3294.63 3171.962
30.0229 37.3608 2296.54 2346.54 2396.54 2446.54 2496.54 2459.202
22.6362 7.22373 222.856 262.856 322.856 362.856 422.856 408.2685
0.0808742 3.05033 9.32202 59.32202 209.322 259.322 209.322 176.3526
40.3229 42.6323 3442.48 3492.48 3542.48 3592.48 3642.48 3610.171
20.5289 5.78022 244.268 294.268 244.268 294.268 344.268 429.0167
27.6605 0.722607 765.608 825.608 865.608 925.608 965.608 962.5458
5.68865 22.7256 548.824 598.824 648.824 698.824 748.824 701.787
37.622 34.3074 2592.58 2642.58 2692.58 2742.58 2792.58 2765.895
27.2722 3.69427 752.974 802.974 852.974 902.974 952.974 946.5519
22.836 20.097 578.762 628.762 678.762 728.762 778.762 751.501
34.8209 24.5277 2422.56 2472.56 2522.56 2572.56 2622.56
